Day,Part,File,Best,Worst,Average
5,part2,day5-part2.py,0.030894,0.034398,0.0325
8,part2,day8-part2.py,0.016285,0.019626,0.017662
2,part2,day2-part2.py,0.016432,0.020461,0.017764
1,part2,day1-part2.py,0.015125,0.018349,0.016639
5,part1,day5-part1.py,0.016258,0.021477,0.017569
5,part1,day5-part1.c,0.000727,0.001661,0.001151
6,part2,day6-part2.py,36.998106,39.083888,37.943375
4,part2,day4-part2.py,0.021005,0.024858,0.022433
1,part1,day1-part1.py,0.015343,0.018197,0.016501
2,part1,day2-part1.py,0.016241,0.017774,0.016995
9,part1,day9-part1.py,0.027221,0.038477,0.029127
6,part1,day6-part1.py,0.017244,0.025562,0.019611
9,part2,day9-part2.py,0.04049,0.049648,0.043682
8,part1,day8-part1.py,0.014568,0.017036,0.015639
4,part1,day4-part1.py,0.019741,0.022784,0.020604
3,part1,day3-part1.py,0.019471,0.027279,0.022029
7,part1,day7-part1.py,0.123909,0.1345,0.128762
3,part2,day3-part2.py,0.019614,0.024019,0.021244
6,part2,day6-part2-v2.py,5.678306,9.93441,6.137422
6,part2,day6-part2-v3.py,0.099981,0.103681,0.101144
10,part1,day10-part1.py,0.03398,0.038987,0.035776
10,part2,day10-part2.py,0.033145,0.041106,0.035139
11,part2,day11-part2.py,0.249002,0.305886,0.278483
11,part1,day11-part1.py,0.327947,0.331327,0.329884
12,part2,day12-part2.py,0.080268,0.08482,0.081873
12,part1,day12-part1.py,0.058681,0.060766,0.059893
13,part1,day13-part1.py,0.041184,0.04477,0.042486
13,part2,day13-part2.py,0.041156,0.045768,0.042979
7,part2,day7-part2.py,0.025399,0.028613,0.026727
14,part1,day14-part1.py,0.020337,0.023632,0.021551
14,part2,day14-part2.py,1.085183,1.095893,1.091219
14,part2,day14-part2-v2.py,0.067108,0.070131,0.068342
15,part1,day15-part1.py,0.038716,0.049474,0.043367
15,part2,day15-part2.py,0.040811,0.053355,0.046754
16,part2,day16-part2.py,0.28683,0.293164,0.290719
16,part1,day16-part1.py,0.110458,0.115678,0.112121
17,part1,day17-part1.py,0.04016,0.047533,0.042533
17,part2,day17-part2.py,0.035549,0.040694,0.037251
18,part1,day18-part1.py,0.041384,0.044496,0.04251
18,part2,day18-part2.py,7.355687,11.391298,7.950896
19,part2,day19-part2.py,0.059563,0.06124,0.060395
19,part1,day19-part1.py,0.045324,0.048936,0.047791
20,part1,day20-part1-v2.py,5.164027,5.351111,5.253468
20,part1,day20-part1.py,3.268516,3.406656,3.325054
20,part2,day20-part2.py,5.264477,5.451977,5.321537
21,part2,day21-part2.py,0.055927,0.060329,0.057292
21,part1,day21-part1.py,0.961803,1.918785,1.367626
21,part1,day21-part1-v2.py,0.027062,0.030065,0.027866
22,part1,day22-part1.py,1.196872,2.453285,1.583041
22,part2,day22-part2.py,4.030623,4.271032,4.130413
23,part2,day23-part2.py,0.375927,0.383484,0.379749
23,part1,day23-part1.py,0.039795,0.042476,0.040964
